country,age_bin,_item,Strongly disagree,Disagree,Neutral,Agree,Strongly agree
kr,30-49,P hopeful view,6.024096385542169,21.987951807228914,49.096385542168676,20.180722891566266,2.710843373493976
kr,50+,A impact my life,2.287581699346405,9.803921568627452,52.614379084967325,32.02614379084967,3.2679738562091507
kr,50+,B issues I care about,1.6339869281045754,5.228758169934641,23.856209150326798,59.80392156862745,9.477124183006536
kr,50+,C profit over truth,4.57516339869281,15.359477124183007,37.254901960784316,35.294117647058826,7.516339869281046
kr,50+,D written to manipulate,3.9215686274509802,24.18300653594771,39.21568627450981,29.08496732026144,3.594771241830065
kr,50+,E interested in politics,4.901960784313726,7.8431372549019605,30.718954248366014,44.11764705882353,12.418300653594772
kr,50+,F mainstream accurate,4.57516339869281,22.22222222222222,52.28758169934641,19.607843137254903,1.3071895424836601
kr,50+,G biased against my views,2.941176470588235,19.607843137254903,54.248366013071895,20.26143790849673,2.941176470588235
kr,50+,H trust mainstream,5.245901639344262,13.442622950819672,43.606557377049185,35.40983606557377,2.2950819672131146
kr,50+,I confident fact-check,3.9215686274509802,17.973856209150327,54.90196078431373,20.588235294117645,2.6143790849673203
kr,50+,J distinguish fact/opinion,2.287581699346405,17.320261437908496,51.9607843137255,26.47058823529412,1.9607843137254901
kr,50+,K determine trustworthy,2.941176470588235,18.30065359477124,48.36601307189542,27.77777777777778,2.6143790849673203
kr,50+,L overwhelmed,1.9607843137254901,11.11111111111111,38.88888888888889,39.54248366013072,8.49673202614379
kr,50+,M too stressful,2.6143790849673203,15.359477124183007,33.98692810457516,38.56209150326798,9.477124183006536
kr,50+,N excited new ways,1.9607843137254901,5.228758169934641,45.09803921568628,42.48366013071895,5.228758169934641
kr,50+,O excited traditional ways,2.6143790849673203,14.705882352941178,44.771241830065364,33.006535947712415,4.901960784313726
kr,50+,P hopeful view,3.594771241830065,16.013071895424837,49.34640522875817,30.392156862745097,0.6535947712418301
ng,18-29,A impact my life,4.75,8.75,32.0,34.75,19.75
ng,18-29,B issues I care about,2.75,2.0,15.25,54.75,25.25
ng,18-29,C profit over truth,4.522613065326634,13.819095477386934,32.41206030150754,30.15075376884422,19.09547738693467
ng,18-29,D written to manipulate,10.5,26.75,29.5,20.5,12.75
ng,18-29,E interested in politics,9.5,17.25,27.750000000000004,25.25,20.25
ng,18-29,F mainstream accurate,5.25,10.5,33.0,34.0,17.25
ng,18-29,G biased against my views,5.75,20.0,41.25,21.5,11.5
ng,18-29,H trust mainstream,4.761904761904762,6.516290726817042,37.092731829573935,33.33333333333333,18.295739348370926
ng,18-29,I confident fact-check,2.75,3.5000000000000004,23.5,44.25,26.0
ng,18-29,J distinguish fact/opinion,3.258145363408521,4.010025062656641,24.06015037593985,45.86466165413533,22.807017543859647
ng,18-29,K determine trustworthy,3.0,6.75,21.0,46.0,23.25
ng,18-29,L overwhelmed,5.25,9.5,28.249999999999996,38.25,18.75
ng,18-29,M too stressful,12.25,27.500000000000004,28.999999999999996,21.25,10.0
ng,18-29,N excited new ways,1.7543859649122806,3.7593984962406015,23.809523809523807,47.86967418546366,22.807017543859647
ng,18-29,O excited traditional ways,13.0,24.0,28.499999999999996,22.25,12.25
ng,18-29,P hopeful view,2.5,8.5,21.25,41.75,26.0
ng,30-49,A impact my life,3.524229074889868,8.590308370044053,22.026431718061673,41.18942731277533,24.669603524229075
ng,30-49,B issues I care about,1.9823788546255507,2.2026431718061676,11.013215859030836,50.881057268722465,33.92070484581498
ng,30-49,C profit over truth,8.149779735682818,19.60352422907489,24.229074889867842,33.03964757709251,14.977973568281937
ng,30-49,D written to manipulate,15.859030837004406,29.735682819383257,21.80616740088106,22.46696035242291,10.13215859030837
ng,30-49,E interested in politics,7.505518763796909,7.28476821192053,16.99779249448124,41.72185430463576,26.490066225165563
ng,30-49,F mainstream accurate,4.6255506607929515,15.638766519823788,22.90748898678414,36.784140969163,20.044052863436125
ng,30-49,G biased against my views,10.572687224669604,25.55066079295154,31.497797356828194,23.127753303964756,9.251101321585903
ng,30-49,H trust mainstream,2.643171806167401,11.45374449339207,23.788546255506606,40.308370044052865,21.80616740088106
ng,30-49,I confident fact-check,1.5418502202643172,3.0837004405286343,14.317180616740089,50.440528634361236,30.616740088105725
ng,30-49,J distinguish fact/opinion,3.0837004405286343,3.524229074889868,12.77533039647577,53.74449339207048,26.87224669603524
ng,30-49,K determine trustworthy,3.090507726269316,4.194260485651214,13.90728476821192,54.966887417218544,23.841059602649008
ng,30-49,L overwhelmed,5.066079295154185,14.096916299559473,24.008810572687224,35.24229074889868,21.58590308370044
ng,30-49,M too stressful,12.77533039647577,39.20704845814978,23.568281938325992,15.638766519823788,8.81057268722467
ng,30-49,N excited new ways,2.4229074889867843,2.2026431718061676,14.537444933920703,49.77973568281938,31.05726872246696
ng,30-49,O excited traditional ways,8.590308370044053,18.722466960352424,23.127753303964756,32.59911894273127,16.96035242290749
ng,30-49,P hopeful view,3.7444933920704844,8.81057268722467,14.537444933920703,44.49339207048458,28.41409691629956
ng,50+,A impact my life,2.7586206896551726,5.517241379310345,23.448275862068964,47.58620689655172,20.689655172413794
ng,50+,B issues I care about,0.684931506849315,2.054794520547945,9.58904109589041,55.47945205479452,32.19178082191781
ng,50+,C profit over truth,4.10958904109589,16.43835616438356,19.863013698630137,42.465753424657535,17.123287671232877
ng,50+,D written to manipulate,13.013698630136986,23.28767123287671,17.123287671232877,28.767123287671232,17.80821917808219
ng,50+,E interested in politics,3.4246575342465753,9.58904109589041,19.863013698630137,45.89041095890411,21.232876712328768
ng,50+,F mainstream accurate,1.36986301369863,17.123287671232877,18.493150684931507,39.726027397260275,23.28767123287671
ng,50+,G biased against my views,4.10958904109589,24.65753424657534,30.82191780821918,30.136986301369863,10.273972602739725
ng,50+,H trust mainstream,2.054794520547945,10.95890410958904,20.54794520547945,46.57534246575342,19.863013698630137
ng,50+,I confident fact-check,0.0,4.137931034482759,11.03448275862069,58.620689655172406,26.20689655172414
ng,50+,J distinguish fact/opinion,0.0,7.534246575342466,12.32876712328767,52.054794520547944,28.08219178082192
ng,50+,K determine trustworthy,1.36986301369863,7.534246575342466,13.013698630136986,54.794520547945204,23.28767123287671
ng,50+,L overwhelmed,2.73972602739726,15.068493150684931,16.43835616438356,50.0,15.753424657534246
ng,50+,M too stressful,11.643835616438356,29.45205479452055,21.232876712328768,25.34246575342466,12.32876712328767
ng,50+,N excited new ways,0.0,0.0,19.17808219178082,58.9041095890411,21.91780821917808
ng,50+,O excited traditional ways,5.47945205479452,19.863013698630137,18.493150684931507,34.24657534246575,21.91780821917808
ng,50+,P hopeful view,1.36986301369863,6.164383561643835,14.383561643835616,47.26027397260274,30.82191780821918
uk,18-29,A impact my life,3.0054644808743167,13.387978142076504,36.33879781420765,39.89071038251366,7.377049180327869
uk,18-29,B issues I care about,0.819672131147541,8.743169398907105,28.415300546448087,48.90710382513661,13.114754098360656
uk,18-29,C profit over truth,0.819672131147541,6.0109289617486334,28.688524590163933,38.52459016393443,25.956284153005466
uk,18-29,D written to manipulate,1.095890410958904,12.876712328767123,29.315068493150687,36.986301369863014,19.726027397260275
uk,18-29,E interested in politics,10.92896174863388,10.382513661202186,24.043715846994534,27.86885245901639,26.775956284153008
uk,18-29,F mainstream accurate,7.103825136612022,19.398907103825135,36.33879781420765,33.060109289617486,4.098360655737705
uk,18-29,G biased against my views,1.912568306010929,20.21857923497268,44.53551912568306,22.950819672131146,10.382513661202186
uk,18-29,H trust mainstream,13.934426229508196,17.48633879781421,29.78142076502732,34.42622950819672,4.371584699453552
uk,18-29,I confident fact-check,1.092896174863388,9.01639344262295,27.049180327868854,48.08743169398907,14.754098360655737
uk,18-29,J distinguish fact/opinion,1.639344262295082,4.371584699453552,23.497267759562842,55.73770491803278,14.754098360655737
uk,18-29,K determine trustworthy,1.092896174863388,7.377049180327869,27.595628415300546,52.18579234972678,11.748633879781421
uk,18-29,L overwhelmed,4.371584699453552,16.939890710382514,22.131147540983605,39.34426229508197,17.21311475409836
uk,18-29,M too stressful,4.098360655737705,17.48633879781421,26.775956284153008,37.15846994535519,14.48087431693989
uk,18-29,N excited new ways,2.73224043715847,10.382513661202186,39.61748633879781,39.34426229508197,7.923497267759563
uk,18-29,O excited traditional ways,3.0054644808743167,17.48633879781421,44.53551912568306,27.049180327868854,7.923497267759563
uk,18-29,P hopeful view,28.688524590163933,33.60655737704918,22.950819672131146,12.021857923497267,2.73224043715847
uk,30-49,A impact my life,3.061224489795918,15.98639455782313,39.455782312925166,38.775510204081634,2.7210884353741496
uk,30-49,B issues I care about,1.3605442176870748,6.462585034013606,28.91156462585034,53.40136054421769,9.863945578231291
uk,30-49,C profit over truth,0.6802721088435374,5.782312925170068,30.272108843537417,44.5578231292517,18.70748299319728
uk,30-49,D written to manipulate,2.0408163265306123,10.204081632653061,30.612244897959183,41.83673469387755,15.306122448979592
uk,30-49,E interested in politics,5.782312925170068,14.965986394557824,26.87074829931973,35.714285714285715,16.666666666666664
uk,30-49,F mainstream accurate,7.142857142857142,20.408163265306122,40.136054421768705,29.931972789115648,2.380952380952381
uk,30-49,G biased against my views,1.3605442176870748,24.829931972789115,45.23809523809524,21.08843537414966,7.482993197278912
uk,30-49,H trust mainstream,10.884353741496598,21.428571428571427,30.612244897959183,33.33333333333333,3.741496598639456
uk,30-49,I confident fact-check,0.6802721088435374,6.802721088435375,32.6530612244898,46.93877551020408,12.925170068027212
uk,30-49,J distinguish fact/opinion,0.0,5.1020408163265305,27.2108843537415,53.06122448979592,14.625850340136054
uk,30-49,K determine trustworthy,0.3401360544217687,6.802721088435375,35.374149659863946,48.97959183673469,8.503401360544217
uk,30-49,L overwhelmed,4.081632653061225,13.945578231292515,27.2108843537415,43.197278911564624,11.564625850340136
uk,30-49,M too stressful,6.462585034013606,15.646258503401361,29.25170068027211,36.054421768707485,12.585034013605442
uk,30-49,N excited new ways,3.0716723549488054,16.040955631399317,50.170648464163826,26.27986348122867,4.436860068259386
uk,30-49,O excited traditional ways,1.3605442176870748,14.285714285714285,48.63945578231292,27.89115646258503,7.8231292517006805
uk,30-49,P hopeful view,22.789115646258505,42.17687074829932,23.809523809523807,8.843537414965986,2.380952380952381
uk,50+,A impact my life,2.366863905325444,8.284023668639055,43.49112426035503,41.71597633136095,4.142011834319527
uk,50+,B issues I care about,0.8875739644970414,5.029585798816568,23.076923076923077,60.650887573964496,10.355029585798817
uk,50+,C profit over truth,0.8875739644970414,7.988165680473373,36.09467455621302,40.828402366863905,14.201183431952662
uk,50+,D written to manipulate,0.2958579881656805,6.804733727810651,34.61538461538461,42.89940828402367,15.384615384615385
uk,50+,E interested in politics,7.6923076923076925,9.763313609467456,20.710059171597635,43.19526627218935,18.639053254437872
uk,50+,F mainstream accurate,6.824925816023739,24.03560830860534,35.01483679525222,32.640949554896146,1.483679525222552
uk,50+,G biased against my views,2.366863905325444,23.37278106508876,46.44970414201183,18.93491124260355,8.875739644970414
uk,50+,H trust mainstream,12.721893491124261,16.86390532544379,28.402366863905325,39.64497041420118,2.366863905325444
uk,50+,I confident fact-check,1.7751479289940828,7.988165680473373,34.61538461538461,46.74556213017752,8.875739644970414
